품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Rogers International Commodities Index Metals1998.07.31=1000"
20180713,2024.48
20180712,2035.74
20180711,2022.94
20180710,2063.83
20180709,2081.98
20180706,2064.68
20180705,2069.5
20180703,2084.75
20180702,2077.9
20180627,2129.88
20180626,2130.24
20180622,2153.28
20180621,2145.31
20180619,2154.05
20180618,2182.21
20180615,2184.93
20180614,2242.83
20180613,2246.35
20180612,2242.77
20180611,2248.62
20180608,2246.3
20180607,2254.62
20180606,2251.4
20180605,2234.16
20180604,2218.1
20180601,2208.05
20180531,2204.75
20180530,2201.92
20180529,2195.22
20180525,2194.24
20180524,2207.88
20180523,2189.39
20180522,2203.01
20180521,2194.8
20180518,2181.53
20180517,2190.74
20180516,2186.52
20180515,2183.46
20180514,2209.06
20180511,2206.73
20180510,2209.16
20180509,2199.85
20180508,2193
20180507,2200.32
20180504,2200.06
20180503,2172.93
20180502,2178.53
20180501,2159.83
20180430,2180.29
20180427,2181.05
20180426,2202.08
20180425,2196.99
20180424,2207.88
20180423,2212.2
20180419,2281.4
20180418,2300.33
20180417,2242.51
20180416,2239.74
20180413,1910.5
20180412,2206.45
20180411,2224.85
20180410,2204.95
20180409,2183.33
20180406,2153.26
20180405,2146.69
20180404,2140.22
20180403,2152.37
20180402,2161.04
20180328,2149.48
20180327,2163.09
20180326,2167.51
20180323,2160.05
20180321,2169.67
20180320,2149.83
20180319,2168.05
20180316,2168.4
20180315,2176.43
20180314,2187.55
20180313,2194.09
20180309,2194.45
20180308,2171.67
20180307,2183.27
20180306,2213.9
20180305,2192.38
20180302,2199.84
20180301,2192.29
20180228,2211.63
20180227,2226.82
20180226,2244.71
20180223,2235.21
20180222,2251.12
20180221,2252.94
20180220,2247.22
20180216,2279.46
20180215,2279.46
20180214,2269.26
20180213,2269.09
20180212,2221.97
20180209,2180.35
20180208,2204.32
20180207,2199.41
20180206,2239.8
20180205,2266.46
20180202,2258.24
20180201,2283.2
20180131,2276.01
20180130,2259.83
20180129,2278.56
20180126,2288.41
20180125,2297.84
20180124,2291.49
20180123,2245.51
20180122,2254.28
20180119,2250.37
20180118,2246.03
20180117,2240.72
20180116,2243.56
20180112,2244.23
20180111,2230.11
20180110,2229.04
20180109,2216.23
20180108,2232.72
20180105,2233.81
20180104,2247.4
20180103,2235.28
20180102,2242.45
20171229,2232.68
20171228,2226.3
20171227,2208.88
20171226,2183.34
20171222,2176.32
20171221,2157.47
20171220,2152.25
20171219,2136.22
20171218,2132.24
20171215,2116.17
20171214,2096.88
20171213,2081.38
20171212,2073.88
20171211,2080.4
20171208,2066.07
20171207,2068.57
20171206,2081.31
20171205,2091.9
20171204,2129.07
20171201,2140.76
20171130,2121.68
20171129,2129.81
20171128,2149.69
20171127,2170.78
20171124,2176.51
20171122,2169.89
20171121,2154.9
20171120,2140.57
20171117,2162.4
20171116,2138.2
20171115,2143.01
20171114,2144.87
20171113,2168.06
20171110,2152.71
20171109,2159.56
20171108,2169.78
20171107,2160.1
20171106,2189.45
20171103,2168.48
20171102,2179.05
20171101,2187.31
20171031,2154.05
20171030,2153.37
20171027,2147
20171026,2169.1
20171025,2175.36
20171024,2170.13
20171023,2165.81
20171020,2158.28
20171019,2170.09
20171018,2162.33
20171017,2168.64
20171016,2198.3
20171013,2187.9
20171012,2184.41
20171011,2167.26
20171010,2174.68
20171009,2154.76
20171006,2141.42
20171005,2151.5
20171004,2139.37
20171003,2133.66
20171002,2119.02
20170929,2117.31
20170928,2127.18
20170927,2118.09
20170926,2125.58
20170925,2141.33
20170922,2130.25
20170921,2143.98
20170920,2161.79
20170919,2145.28
20170918,2136.72
20170915,2144.52
20170914,2145.98
20170913,2153.53
20170912,2175.76
20170911,2177.83
20170908,2177.11
20170907,2205.68
20170906,2194.19
20170905,2197.33
20170901,2200.57
20170831,2180.89
20170830,2163.82
20170829,2171.23
20170828,2148.84
20170824,2146.09
20170823,2139.94
20170822,2135.94
20170821,2136.11
20170818,2122.45
20170817,2124.04
20170816,2132.64
20170815,2088.09
20170814,2093.36
20170811,2099.73
20170810,2105.25
20170809,2092.53
20170808,2080.5
20170807,2057.3
20170804,2041.44
20170803,2052.18
20170802,2054.76
20170801,2048.54
20170731,2048.99
20170728,2040.75
20170727,2040.13
20170726,2032
20170725,2030.83
20170724,2006.27
20170721,2001.27
20170720,1989
20170719,1989.85
20170718,2001.78
20170717,1994.33
20170714,1985.05
20170713,1967.74
20170712,1974.33
20170711,1963.54
20170710,1956.13
20170707,1954.54
20170706,1975.64
20170705,1969.04
20170703,1986.02
20170630,1998.8
20170629,2000.8
20170628,1993.08
20170627,1985.14
20170626,1970.83
20170623,1975.47
20170622,1965.89
20170621,1957.23
20170620,1943.17
20170619,1951.87
20170616,1948.12
20170615,1944.15
20170614,1964.96
20170613,1950.53
20170612,1960.12
20170609,1976.31
20170608,1972.25
20170607,1972.65
20170606,1980.83
20170605,1980.03
20170602,1987.98
20170601,1980.18
20170531,1989.62
20170530,1985.58
20170526,1994.54
20170525,1988.15
20170524,1979.71
20170523,1988.76
20170522,1988.37
20170519,1975.43
20170518,1954.15
20170517,1969.5
20170516,1952.49
20170515,1950.01
20170512,1937.94
20170511,1936.77
20170510,1927.96
20170509,1924.78
20170508,1933.02
20170505,1941.38
20170504,1940.74
20170503,1959.18
20170502,1993.98
20170501,1985.65
20170428,2000.12
20170427,1993.98
20170426,2002.54
20170425,2005.06
20170424,2006.84
20170421,2008.1
20170420,2000.24
20170419,2000.24
20170418,1998.65
20170417,2034.42
20170413,2031.16
20170412,2015.13
20170411,2027.01
20170410,2016.37
20170407,2040.06
20170406,2044.77
20170405,2050.76
20170404,2041.32
20170403,2033.84
20170331,2048.74
20170330,2062.89
20170329,2060.33
20170328,2052.28
20170327,2032.74
20170324,2038.93
20170323,2037.94
20170322,2038.31
20170321,2029.54
20170320,2029.75
20170317,2030.99
20170316,2016.05
20170315,1989.53
20170314,1978.43
20170313,1983.43
20170310,1972.06
20170309,1969.73
20170308,1987.34
20170307,1997.03
20170306,2018.37
20170303,2028.44
20170302,2032.58
20170301,2078.51
20170228,2066.96
20170227,2061.2
20170224,2056.63
20170223,2033.27
20170222,2046.47
20170221,2053.4
20170217,2043.87
20170216,2056.64
20170215,2061.13
20170214,2051.64
20170213,2057.33
