품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"S&P GSCI"
20180716,450.73
20180713,463.37
20180712,461.47
20180711,459.38
20180710,480.64
20180709,481.11
20180706,480.73
20180705,478.61
20180703,481
20180702,479.57
20180629,487.44
20180628,481.55
20180627,481.23
20180626,473.06
20180625,466.27
20180622,471.45
20180621,460.73
20180620,463.76
20180619,462.65
20180618,467.39
20180615,463.62
20180614,474.14
20180613,478.02
20180612,476.47
20180611,475.35
20180608,476.17
20180607,477.43
20180606,471.28
20180605,472.2
20180604,470.5
20180601,477.11
20180531,481.43
20180530,483.69
20180529,477.08
20180525,482.07
20180524,491.49
20180523,495.11
20180522,494.83
20180521,493.06
20180518,489.13
20180517,490.22
20180516,489.2
20180515,487.51
20180514,486.71
20180511,484.43
20180510,487.14
20180509,485.64
20180508,477.01
20180507,482.55
20180504,479.46
20180503,474.28
20180502,472.52
20180501,470.92
20180430,475.76
20180427,473.15
20180426,473.53
20180425,472
20180424,470.42
20180423,473.52
20180420,473.77
20180419,474.03
20180418,474.78
20180417,464.85
20180416,464.51
20180413,468.31
20180412,466.87
20180411,466.72
20180410,461.15
20180409,451.91
20180406,443.72
20180405,448.46
20180404,445.72
20180403,446.9
20180402,445.07
20180329,452.94
20180328,450.03
20180327,453.05
20180326,453.42
20180323,455.17
20180322,450.3
20180321,453.47
20180320,446.15
20180319,441.29
20180316,444.63
20180315,441.32
20180314,441.61
20180313,440.57
20180312,441.5
20180309,444.4
20180308,437.7
20180307,441.54
20180306,448.22
20180305,447.54
20180302,441.56
20180301,441.04
20180228,443.38
20180227,450.09
20180226,453.68
20180223,451.53
20180222,448.84
20180221,444.57
20180220,444.21
20180216,443.59
20180215,441.53
20180214,439.14
20180213,431.7
20180212,430.5
20180209,428.53
20180208,438.06
20180207,440.34
20180206,447.38
20180205,451.6
20180202,456.53
20180201,460.23
20180131,456.53
20180130,456.61
20180129,460.59
20180126,463.45
20180125,460.86
20180124,461.36
20180123,455.67
20180122,452.35
20180119,450.37
20180118,453.12
20180117,452.74
20180116,450.91
20180112,453.23
20180111,451.22
20180110,450.45
20180109,448.4
20180108,443.76
20180105,443.76
20180104,447.83
20180103,447.14
20180102,442.72
20171229,442.44
20171228,439.9
20171227,437.58
20171226,437.26
20171222,429.34
20171221,427.8
20171220,425.98
20171219,422.82
20171218,421.11
20171215,419.7
20171214,418.76
20171213,415.83
20171212,418.48
20171211,423.4
20171208,420.33
20171207,416.7
20171206,414.64
20171205,422.74
20171204,423.56
20171201,429.48
20171130,424.26
20171129,426.11
20171128,428.79
20171127,429.62
20171124,431.23
20171122,429.02
20171121,424.66
20171120,422.82
20171117,425.35
20171116,418.75
20171115,420.62
20171114,421.84
20171113,428.53
20171110,428.59
20171109,429.19
20171108,427.39
20171107,427.58
20171106,429.44
20171103,420.59
20171102,415.7
20171101,415.16
20171031,415.14
20171030,413.8
20171027,412.04
20171026,408.54
20171025,406.44
20171024,406.76
20171023,402.94
20171020,402.38
20171019,401.03
20171018,403.32
20171017,403.24
20171016,404.66
20171013,402.8
20171012,398.1
20171011,399.64
20171010,398.51
20171009,392.46
20171006,391.85
20171005,398.7
20171004,393.73
20171003,393.85
20171002,393.98
20170929,399.31
20170928,400.2
20170927,402.27
20170926,401.57
20170925,404.25
20170922,398.04
20170921,397.27
20170920,398.7
20170919,393.5
20170918,394.94
20170915,395.9
20170914,394.23
20170913,392.41
20170912,388.65
20170911,388.16
20170908,387.18
20170907,392.34
20170906,392.43
20170905,389.97
20170901,386.38
20170831,386
20170830,375.85
20170829,377.48
20170828,376.96
20170825,379.06
20170824,378.99
20170823,379.99
20170822,377.45
20170821,376.5
20170818,380.68
20170817,374.9
20170816,374.29
20170815,376.65
20170814,378.02
20170811,383
20170810,381.93
20170809,386.89
20170808,384.91
20170807,384.8
20170804,384.51
20170803,383.17
20170802,385.77
20170801,382.96
20170731,388.07
20170728,386.62
20170727,383.93
20170726,381.32
20170725,376.84
20170724,371.21
20170721,371.17
20170720,376.88
20170719,377.9
20170718,373.57
20170717,371.9
20170714,373.46
20170713,370.34
20170712,370.22
20170711,370.25
20170710,366.92
20170707,365.51
20170706,371.31
20170705,369.92
20170703,377.72
20170630,372.38
20170629,365.33
20170628,362.61
20170627,359.65
20170626,355.5
20170623,353.8
20170622,352.52
20170621,352.7
20170620,357.1
20170619,361.38
20170616,364.17
20170615,361.85
20170614,362.06
20170613,369.88
20170612,368.35
20170609,369.81
20170608,367.9
20170607,366.99
20170606,374.55
20170605,371.72
20170602,374.34
20170601,377.36
20170531,377.85
20170530,382.86
20170526,385.5
20170525,383.11
20170524,391.92
20170523,393.04
20170522,393.67
20170519,391.04
20170518,384.11
20170517,384.35
20170516,381.77
20170515,382.63
20170512,379.5
20170511,378.29
20170510,375.54
20170509,368.88
20170508,371.1
20170505,371.39
20170504,367.82
20170503,378.8
20170502,378.14
20170501,381.64
20170428,382.77
20170427,380.38
20170426,383.29
20170425,383.57
20170424,381.24
20170421,383.03
20170420,387.7
20170419,388.83
20170418,396.54
20170417,399.31
20170413,401.58
20170412,400.06
20170411,400.63
20170410,398.84
20170407,395.2
20170406,392.84
20170405,390.71
20170404,389.41
20170403,385.6
20170331,388.22
20170330,387.16
20170329,384.81
20170328,380.04
20170327,376.71
20170324,378.13
20170323,377.44
20170322,378.22
20170321,379.41
20170320,382.16
20170317,383.12
20170316,382.26
20170315,381.89
20170314,377.21
20170313,380.16
20170310,380.06
20170309,382.6
20170308,387.67
20170307,397.44
20170306,398.78
20170303,398.56
20170302,396.12
20170301,403.23
20170228,402.22
20170227,401.06
20170224,401.83
20170223,403.74
20170222,401.58
20170221,404.51
20170217,403.03
20170216,403.71
20170215,405.48
20170214,405.1
20170213,403.78
20170210,407.83
20170209,401.76
20170208,398.78
20170207,395.5
20170206,396.76
20170203,400.38
20170202,400.35
20170201,401.7
20170131,395.83
20170130,393.51
20170127,397.47
20170126,400.68
20170125,397.93
20170124,400.17
20170123,398.77
20170120,399.41
20170119,394.96
20170118,395.17
20170117,400.91
20170113,399.85
20170112,400.68
20170111,394.64
20170110,389.01
20170109,390.48
20170106,398.18
20170105,397.84
20170104,396.14
20170103,390.66
20161230,398.2
20161229,398.48
20161228,399.18
20161227,398.22
20161223,391.89
20161222,391.95
