품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"SSY/Atlantic Capesize Index1997.1.6=5000"
20180716,9936
20180709,9953
20180702,8625
20180625,8038
20180618,8331
20180611,7908
20180604,6911
20180521,7280
20180514,8522
20180508,8079
20180430,8004
20180423,7323
20180416,5282
20180409,4995
20180403,5312
20180326,5514
20180319,5692
20180312,6063
20180305,6511
20180226,6818
20180219,6681
20180212,7164
20180205,6338
20180129,6825
20180122,6697
20180115,7973
20180108,8574
20171222,8236
20171218,9373
20171211,10579
20171204,10020
20171127,8967
20171120,8596
20171113,8894
20171106,8277
20171030,8452
20171023,8345
20171016,7893
20171009,8060
20171002,7716
20170925,8408
20170918,7588
20170911,7734
20170904,6998
20170829,7324
20170821,7585
20170814,6874
20170807,6151
20170731,5186
20170724,5172
20170717,4798
20170710,4447
20170703,4899
20170626,4757
20170619,5229
20170612,5498
20170605,5363
20170530,5752
20170522,5885
20170508,5694
20170424,6126
20170418,6913
20170410,6679
20170403,7453
20170327,7268
20170320,7245
20170313,6150
20170306,5082
20170227,5026
20170220,4503
20170213,4516
20170206,4938
20170130,5443
20170123,6228
20170116,5764
20170109,6178
20170103,6086
20161219,4748
20161212,5165
20161205,6285
20161128,6344
20161121,7291
20161114,6741
20161107,5104
20161031,4913
20161024,4951
20161017,5606
20161010,5985
20161003,5502
20160926,5855
20160919,5060
20160912,4942
20160905,4169
20160829,4043
20160822,3779
20160815,3773
20160808,3800
20160801,3749
20160725,3929
20160718,4105
20160711,4068
20160704,4030
20160627,3791
20160620,3684
20160613,3902
20160606,3822
20160530,3789
20160523,3991
20160516,3833
20160509,3962
20160502,4319
20160425,4194
20160418,3956
20160411,3323
20160404,2850
20160328,2593
20160321,2590
20160314,2469
20160307,2419
20160229,2531
20160222,2568
20160215,2596
20160208,2672
20160201,2567
20160125,2505
20160118,2468
20160111,2726
20160104,3344
20151221,3530
20151214,4088
20151207,4195
20151130,4318
20151123,3593
20151116,3894
20151109,4302
20151102,4924
20151026,5389
20151019,5008
20151012,5270
20151005,6147
20150928,6520
20150921,6673
20150914,4932
20150907,5219
20150901,4616
20150824,6193
20150817,6589
20150810,7989
20150803,7880
20150727,6864
20150720,6823
20150713,4596
20150706,4500
20150629,4750
20150622,4477
20150615,3728
20150608,3776
20150601,3763
20150525,3816
20150518,4230
20150511,3694
20150504,3475
20150427,3404
20150420,3431
20150413,3330
20150406,3186
20150330,3230
20150323,3250
20150316,3237
20150309,3429
20150223,3645
20150216,3777
20150209,4087
20150202,4071
20150126,4416
20150119,4054
20150112,3209
20141222,3636
20141215,4430
20141208,5131
20141201,6581
20141124,7860
20141117,7785
20141110,9038
20141103,8816
20141027,7188
20141020,5123
20141013,5386
20141006,5962
20140929,6177
20140922,6661
20140915,7238
20140908,7103
20140901,7333
20140825,6927
20140818,6863
20140811,5445
20140804,5380
20140728,5496
20140721,5571
20140714,6047
20140707,6695
20140630,6625
20140623,6942
20140616,6386
20140609,6849
20140602,5807
20140527,5771
20140519,6059
20140513,6171
20140506,6300
20140428,5640
20140421,5411
20140414,5839
20140407,6885
20140331,7596
20140324,8985
20140317,8704
20140310,8989
20140303,6839
20140224,5642
20140217,5544
20140210,5792
20140203,5696
20140127,6185
20140120,7076
20140113,7238
20140106,11309
20131223,11593
20131216,11408
20131209,10337
20131202,8573
20131125,7295
20131118,7543
20131111,7933
20131104,7660
20131028,8416
20131021,9622
20131014,10263
20131007,11240
20130930,11188
20130923,11255
20130916,9512
20130909,8014
20130902,6791
20130819,6615
20130812,5719
20130805,6180
20130729,6353
20130722,6812
20130715,7067
20130708,6642
20130701,7248
20130624,6283
20130617,5535
20130610,5106
20130603,5113
20130528,5161
20130520,5241
20130513,5363
20130507,5238
20130429,5101
20130422,5146
20130415,5199
20130408,5192
20130402,5247
20130325,5308
20130318,5344
20130311,5298
20130304,5260
20130225,5527
20130218,5742
20130211,6035
20130204,6134
20130128,6317
20130121,6497
20130114,5445
20130107,5072
20121224,4509
20121217,5055
20121210,6661
20121203,7649
20121126,7623
20121119,7430
20121112,6852
20121105,7149
20121029,7508
20121022,7018
20121015,6541
20121008,6592
20121001,6307
20120924,6145
20120917,5273
20120910,5185
20120903,5185
20120828,5060
20120820,5004
20120813,5251
20120806,5330
20120730,5335
20120723,5400
20120716,5544
20120709,5707
20120702,5074
20120625,5006
20120618,4986
20120611,5133
20120606,5338
20120528,5551
20120521,6296
20120514,6248
20120508,6235
20120430,5994
20120423,6021
20120416,6096
20120409,5969
20120402,5689
20120326,5640
20120319,5777
20120312,5914
20120305,5934
20120227,5921
20120220,5802
20120213,5902
20120206,5771
20120130,5842
20120123,5991
20120116,6564
20120109,7692
20111228,9976
20111219,10531
20111212,10947
20111205,10138
20111128,9570
20111121,10141
20111114,10248
20111107,9276
20111101,11565
20111031,10457
20111025,12338
20111024,10750
20111017,10725
20111010,10361
20111003,9838
20110926,10174
20110919,9283
20110912,9677
20110905,9248
20110830,7729
20110822,7824
20110815,6456
20110808,6364
20110801,6417
20110725,6696
20110718,6819
20110711,7439
20110704,7255
20110627,6996
20110620,6614
20110613,6256
20110606,6979
20110530,6684
20110523,6168
20110516,5686
20110509,5809
20110503,5829
20110426,5827
20110418,5911
20110411,6193
20110404,6585
20110328,6745
20110321,6497
20110314,6679
20110307,5759
20110228,5341
20110221,5761
20110214,5567
20110207,5072
20110131,5086
20110124,5735
20110117,5913
20110110,6196
20101229,7439
20101220,8546
20101213,8664
20101206,9411
20101129,9513
20101122,9933
20101115,10035
20101108,10877
20101101,11565
20101025,12238
20101018,12227
20101011,11312
20101004,9601
20100927,8670
20100920,9659
20100913,10954
20100906,10623
20100831,9296
20100823,10116
20100816,9020
20100809,7057
20100802,6336
20100726,5908
20100719,5907
20100712,6508
20100705,7747
20100628,7942
20100621,8748
20100614,11601
20100607,13612
20100601,14203
20100524,12053
20100517,12935
20100510,11909
20100504,11500
20100426,8991
20100419,8445
20100412,8085
20100406,9225
20100329,8867
20100322,9500
20100315,11268
20100308,11083
20100301,9131
20100222,9861
20100215,9337
20100208,9733
20100201,9198
20100125,11170
20100118,11114
20100111,9858
20100104,11066
20091221,12377
20091214,13988
20091207,16951
20091130,16284
20091123,18157
20091116,17594
20091109,14726
20091102,13947
20091026,13487
20091019,11486
20091012,11200
20091005,9470
