품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"SSY/Pacific Capesize Index1997.1.6=4114"
20180716,6136
20180709,6034
20180702,4997
20180625,4977
20180618,5455
20180611,5372
20180604,4631
20180521,5019
20180514,5553
20180508,5136
20180430,4915
20180423,4674
20180416,3814
20180409,3502
20180403,3730
20180326,3953
20180319,4019
20180312,4267
20180305,4432
20180226,4652
20180219,4374
20180212,4674
20180205,4072
20180129,4387
20180122,3955
20180115,4783
20180108,5379
20171222,5938
20171218,6687
20171211,6986
20171204,6907
20171127,6209
20171120,5830
20171113,6066
20171106,5674
20171030,5903
20171023,5729
20171016,5696
20171009,5703
20171002,5343
20170925,5948
20170918,5379
20170911,5381
20170904,4800
20170829,4917
20170821,5105
20170814,4457
20170807,4046
20170731,3503
20170724,3492
20170717,3194
20170710,2874
20170703,3203
20170626,3057
20170619,3474
20170612,3740
20170605,3657
20170530,3923
20170522,4048
20170508,3734
20170424,3970
20170418,4474
20170410,4374
20170403,4897
20170327,4909
20170320,4925
20170313,4323
20170306,3552
20170227,3411
20170220,2941
20170213,2804
20170206,3129
20170130,3447
20170123,3871
20170116,3692
20170109,3967
20170103,3853
20161219,3191
20161212,3543
20161205,4207
20161128,4352
20161121,4905
20161114,4396
20161107,3613
20161031,3319
20161024,3441
20161017,3937
20161010,4121
20161003,3844
20160926,4240
20160919,3689
20160912,3542
20160905,3020
20160829,2912
20160822,2667
20160815,2716
20160808,2461
20160801,2445
20160725,2616
20160718,2707
20160711,2729
20160704,2777
20160627,2612
20160620,2592
20160613,2700
20160606,2488
20160530,2417
20160523,2481
20160516,2295
20160509,2387
20160502,2582
20160425,2681
20160418,2526
20160411,2170
20160404,1892
20160328,1786
20160321,1821
20160314,1652
20160307,1620
20160229,1633
20160222,1664
20160215,1621
20160208,1629
20160201,1657
20160125,1617
20160118,1594
20160111,1738
20160104,2030
20151221,2099
20151214,2510
20151207,2670
20151130,2611
20151123,2432
20151116,2672
20151109,2954
20151102,3088
20151019,3132
20151012,3466
20151005,3964
20150928,3764
20150921,3779
20150914,3080
20150907,3097
20150901,2801
20150824,3897
20150817,4200
20150810,4821
20150803,4424
20150727,3974
20150720,3977
20150713,3119
20150706,3074
20150629,3248
20150622,3169
20150615,2884
20150608,2928
20150601,2939
20150525,2917
20150518,2976
20150511,2792
20150504,2699
20150427,2685
20150420,2717
20150413,2491
20150406,2527
20150330,2504
20150323,2563
20150316,2563
20150309,2673
20150223,2801
20150216,2966
20150209,2913
20150202,3019
20150126,3019
20150119,2730
20150112,2730
20141222,2996
20141215,4076
20141208,5252
20141201,5907
20141124,5907
20141117,6032
20141110,7002
20141103,6816
20141027,5730
20141020,4749
20141013,5143
20141006,5308
20140929,5308
20140922,6070
20140915,6158
20140908,6172
20140901,5910
20140825,5910
20140818,4704
20140811,4662
20140804,4796
20140728,4796
20140721,4830
20140714,4924
20140707,5091
20140630,5091
20140623,5557
20140616,5501
20140609,5501
20140602,4980
20140527,5114
20140519,5114
20140513,5061
20140506,5185
20140428,5059
20140421,5029
20140414,5504
20140407,6664
20140331,7261
20140324,6611
20140317,7051
20140310,5927
20140303,5297
20140224,4888
20140217,4888
20140210,4778
20140203,5175
20140127,5446
20140120,5124
20140113,7582
20140106,8470
20131223,8470
20131216,9548
20131209,8732
20131202,7539
20131125,6308
20131118,6642
20131111,6642
20131104,6275
20131028,8056
20131021,8457
20131014,9027
20131007,8993
20130930,9054
20130923,9054
20130916,8264
20130909,6456
20130902,6385
20130819,5890
20130812,5387
20130805,5508
20130729,5283
20130722,5378
20130715,5573
20130708,5382
20130701,5749
20130624,5325
20130617,4975
20130610,4753
20130603,4726
20130527,4727
20130520,4707
20130513,4731
20130507,4666
20130429,4570
20130422,4620
20130415,4659
20130408,4654
20130402,4689
20130325,4692
20130318,4753
20130311,4667
20130304,4668
20130225,4741
20130218,4799
20130211,4833
20130204,4753
20130128,4841
20130121,4951
20130114,4684
20130107,4588
20121224,4541
20121217,4741
20121210,5214
20121203,5687
20121126,5912
20121119,6113
20121112,5977
20121105,6180
20121029,6327
20121022,6084
20121015,5396
20121008,5137
20121001,4761
20120924,4624
20120917,4224
20120910,4247
20120903,4253
20120828,4180
20120820,4115
20120813,4195
20120806,4170
20120730,4155
20120723,4328
20120716,4376
20120709,4628
20120702,4224
20120625,4146
20120618,4218
20120611,4449
20120606,4606
20120528,4843
20120521,5049
20120514,5079
20120508,5065
20120430,5022
20120423,5113
20120416,5187
20120409,5148
20120402,5046
20120326,4917
20120319,5025
20120312,5113
20120305,5088
20120227,4982
20120220,5052
20120213,5060
20120206,4990
20120130,5077
20120123,5134
20120116,5284
20120109,6044
20111228,8126
20111219,8516
20111212,8731
20111205,8090
20111128,7375
20111121,7456
20111114,7471
20111107,6789
20111031,7435
20111024,8022
20111017,8025
20111010,7339
20111003,7570
20110926,7730
20110919,7346
20110912,7772
20110905,7348
20110830,6394
20110822,5951
20110815,5553
20110808,5621
20110801,5561
20110725,5661
20110718,5764
20110711,5965
20110704,5701
20110627,5596
20110620,5477
20110613,5468
20110606,5608
20110530,5486
20110523,5221
20110516,5120
20110509,5292
20110503,5291
20110426,5288
20110418,5288
20110411,5209
20110404,5408
20110328,5366
20110321,5057
20110314,5435
20110307,4794
20110228,4664
20110221,4720
20110214,4688
20110207,4423
20110131,4488
20110124,4569
20110117,4634
20110110,5270
20101229,5927
20101220,6386
20101213,6196
20101206,6623
20101129,7255
20101122,7947
20101115,8324
20101108,8941
20101101,9262
20101025,9168
20101018,9211
20101011,8789
20101004,7626
20100927,7237
20100920,7718
20100913,8613
20100906,8561
20100831,7754
20100823,7888
20100816,7271
20100809,5384
20100802,4944
20100726,4462
20100719,4547
20100712,5524
20100705,6185
20100628,6474
20100621,7154
20100614,9079
20100607,10472
20100601,10340
20100524,9071
20100517,10223
20100510,9098
20100504,8237
20100426,7258
20100419,7019
20100412,7028
20100406,7617
20100329,7281
20100322,7681
20100315,9442
20100308,8059
20100301,6669
20100222,7369
20100215,6899
20100208,7454
20100201,7495
20100125,8879
20100118,9436
20100111,8145
20100104,8394
20091221,9315
20091214,10413
20091207,13268
20091130,13081
20091123,15800
20091116,14393
20091109,11224
20091102,10266
20091026,9610
20091019,8251
20091012,8653
20091005,6776
20090928,5892
20090921,6209
20090914,7262
