품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"TOCOM Index2002.05.31=100"
20180717,283.96
20180713,290.24
20180712,289.13
20180711,292.99
20180710,294.63
20180709,291.48
20180706,290.27
20180705,290.02
20180704,290.19
20180703,290.24
20180702,291.82
20180629,291.45
20180628,290.18
20180627,287.22
20180626,282.85
20180625,281.27
20180622,281.1
20180621,283.36
20180620,284.61
20180619,282.84
20180618,282.17
20180615,291.26
20180614,291.1
20180613,290.56
20180612,291.82
20180611,290.65
20180608,290.39
20180607,289.29
20180606,290.16
20180605,288.72
20180604,289.8
20180601,290.78
20180531,290.3
20180530,285.39
20180529,286.46
20180528,286.18
20180525,294.24
20180524,295.78
20180523,297.34
20180522,299.52
20180521,299.13
20180518,298.72
20180517,296.72
20180516,293.7
20180515,293.08
20180514,290.02
20180511,291.56
20180510,292.39
20180509,288.52
20180508,285.31
20180507,286.04
20180502,280.71
20180501,283.54
20180427,280.25
20180426,281.26
20180425,279.36
20180424,282.12
20180423,277.97
20180420,277.75
20180419,278.65
20180418,274.34
20180417,271.59
20180416,271.77
20180413,272.8
20180412,272.93
20180411,269.52
20180410,266.66
20180409,262.4
20180406,263.03
20180405,263.71
20180404,262.41
20180403,261.32
20180402,265.94
20180330,265.94
20180329,264.91
20180328,263.61
20180327,265.94
20180326,263.93
20180323,261.68
20180322,263.91
20180320,258.3
20180319,255.43
20180316,255.65
20180315,255.75
20180314,256.59
20180313,256.91
20180312,257.95
20180309,254.16
20180308,254.06
20180307,255.56
20180306,257.78
20180305,253.92
20180302,252
20180301,255.95
20180228,260.74
20180227,263.39
20180226,263.29
20180223,260.3
20180222,258.01
20180221,259.01
20180220,259.45
20180219,259.13
20180216,256.11
20180215,259.27
20180214,254.19
20180213,255.8
20180209,260.05
20180208,263.64
20180207,267.98
20180206,267.19
20180205,271.46
20180202,276.35
20180201,273.21
20180131,269.76
20180130,270.37
20180129,275.06
20180126,275.73
20180125,276.77
20180124,275.93
20180123,276.77
20180122,275.82
20180119,274.96
20180118,277.38
20180117,276.06
20180116,278.33
20180115,277.87
20180112,275.65
20180111,276.47
20180110,277.18
20180109,276.41
20180105,276.96
20180104,275.79
20171229,271.75
20171228,270.76
20171227,270.35
20171226,267.61
20171225,266.61
20171222,265.93
20171221,265.4
20171220,263.52
20171219,261.13
20171218,260.42
20171215,258.83
20171214,258.56
20171213,261.74
20171212,265.75
20171211,262.07
20171208,260.39
20171207,257.76
20171206,260.33
20171205,261.18
20171204,263.86
20171201,261.92
20171130,261.6
20171129,261.25
20171128,261.15
20171127,262.11
20171124,262.16
20171122,261.98
20171121,261.42
20171120,262.23
20171117,259.55
20171116,262.07
20171115,260.69
20171114,265.62
20171113,266.04
20171110,266.48
20171109,266.02
20171108,265.66
20171107,267.89
20171106,263.73
20171102,259.38
20171101,260.38
20171031,257.45
20171030,257
20171027,255.56
20171026,252.87
20171025,252.85
20171024,251.06
20171023,251.97
20171020,250.13
20171019,250.81
20171018,249.18
20171017,249.36
20171016,249.75
20171013,247.31
20171012,247.46
20171011,246.93
20171010,245.5
20171006,247.95
20171005,245.54
20171004,244.74
20171003,245.71
20171002,247.37
20170929,248.73
20170928,249.97
20170927,251.88
20170926,251.27
20170925,247.3
20170922,247.16
20170921,247.34
20170920,245.13
20170919,245.92
20170915,245.14
20170914,243.73
20170913,241.97
20170912,239.98
20170911,239.1
20170908,240.51
20170907,240.76
20170906,239.8
20170905,238.72
20170904,239.07
20170901,239.37
20170831,234.81
20170830,235.45
20170829,233.48
20170828,233.93
20170825,234.41
20170824,233.8
20170823,232.51
20170822,232.01
20170821,233.67
20170818,230.71
20170817,231.06
20170816,233.15
20170815,232.48
20170814,234.04
20170810,237.06
20170809,235.05
20170808,236.51
20170807,236.32
20170804,235.04
20170803,236.14
20170802,235.03
20170801,237.3
20170731,236.55
20170728,234.64
20170727,234.42
20170726,234.76
20170725,230.84
20170724,229.21
20170721,232.81
20170720,234.1
20170719,231.95
20170718,231.33
20170714,232.25
20170713,230.5
20170712,232.4
20170711,230.25
20170710,229.14
20170707,230.21
20170706,230.48
20170705,233.85
20170704,233.05
20170703,232.06
20170630,228.94
20170629,229.44
20170628,227.13
20170627,223.98
20170626,223.63
20170623,222.05
20170622,220.6
20170621,222.47
20170620,225.72
20170619,225.97
20170616,226.07
20170615,223.82
20170614,227.48
20170613,228.53
20170612,228.68
20170609,227.36
20170608,227.74
20170607,231.12
20170606,230.8
20170605,233.72
20170602,233.99
20170601,235.55
20170531,236.12
20170530,238.27
20170529,238.85
20170526,236.51
20170525,243.76
20170524,243.28
20170523,241.18
20170522,241.5
20170519,238.62
20170518,237.94
20170517,237.89
20170516,239.89
20170515,238.9
20170512,238.18
20170511,237.3
20170510,233.44
20170509,233.68
20170508,233.48
20170502,237.27
20170501,238
20170428,237.82
20170427,237.76
20170426,238.57
20170425,236.45
20170424,237.6
20170421,237.55
20170420,236.47
20170419,239.62
20170418,242.14
20170417,240.69
20170414,243.95
20170413,243.59
20170412,244.23
20170411,243.87
20170410,244.51
20170407,243.81
20170406,240.51
20170405,242.05
20170404,237.55
20170403,240.59
20170331,239.45
20170330,238.12
20170329,236.08
20170328,234.52
20170327,232.03
20170324,233.86
20170323,235.25
20170322,234.43
20170321,238.41
20170317,239.19
20170316,239.79
20170315,239.54
20170314,239.1
20170313,238.79
20170310,242.32
20170309,243.55
20170308,247.36
20170307,249.56
20170306,249.66
20170303,248.97
20170302,252.12
20170301,251.92
20170228,250.38
20170227,250.14
20170224,250.87
20170223,249.47
20170222,251.42
20170221,250.69
20170220,250.17
20170217,250.29
20170216,251.9
20170215,251.42
20170214,249.93
20170213,252.87
20170210,250.66
20170209,248.19
20170208,245.99
20170207,247.73
20170206,250.52
20170203,250.19
20170202,249.57
20170201,247.68
20170131,247.64
20170130,249.72
20170127,251.79
20170126,248.29
20170125,248.54
20170124,247.56
20170123,248.61
20170120,247.57
20170119,247.37
20170118,248.41
20170117,248.86
20170116,249.65
20170113,251.29
20170112,249.17
20170111,248.05
20170110,249.36
20170106,252.63
20170105,252.91
20170104,253.63
20161230,251.49
20161229,249.9
20161228,250.88
20161227,247.51
20161226,247.76
20161222,247.34
20161221,250.29
20161220,248.35
20161219,249.43
20161216,247.84
20161215,247.37
20161214,246.03
20161213,246.76
