품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"US Dollar IndexMar 1973=100"
20180713,90.2872
20180712,90.162
20180711,89.8616
20180710,89.7541
20180709,89.6613
20180706,89.5756
20180705,89.8189
20180703,90.0426
20180702,90.4184
20180629,89.9734
20180628,90.5467
20180627,90.5605
20180626,90.1171
20180625,90.0305
20180622,90.297
20180621,90.4353
20180620,90.4464
20180619,90.4529
20180618,90.2859
20180615,90.1206
20180614,89.793
20180613,89.0226
20180612,88.9954
20180611,88.9424
20180608,88.9338
20180607,88.8819
20180606,88.8521
20180605,89.3939
20180604,89.1813
20180601,89.2653
20180531,89.2677
20180530,89.0934
20180529,89.8201
20180525,89.3643
20180524,89.0095
20180523,89.2158
20180522,88.7433
20180521,88.9733
20180518,89.0051
20180517,88.7983
20180516,88.7875
20180515,88.6274
20180514,88.0314
20180511,88.0314
20180510,88.3096
20180509,88.5658
20180508,88.7212
20180507,88.2622
20180504,88.2094
20180503,88.1655
20180502,88.2047
20180501,88.1188
20180430,87.6276
20180427,87.542
20180426,87.4816
20180425,87.26
20180424,86.9504
20180423,86.9622
20180420,86.3755
20180419,85.8885
20180418,85.6951
20180417,85.5765
20180416,85.532
20180413,85.8087
20180412,85.7508
20180411,85.4936
20180410,85.7493
20180409,85.976
20180406,86.54
20180405,86.54
20180404,86.2295
20180403,86.3098
20180402,86.4032
20180330,86.2665
20180329,86.3748
20180328,86.1384
20180327,85.7394
20180326,85.5564
20180323,85.8266
20180322,86.1841
20180320,86.7713
20180319,86.5089
20180316,86.7572
20180315,86.503
20180314,86.1744
20180313,86.0611
20180312,86.1847
20180309,86.187
20180308,86.3974
20180307,86.1817
20180306,85.9253
20180305,86.3656
20180302,86.2256
20180301,86.6211
20180228,86.4919
20180227,86.3273
20180226,85.9499
20180223,85.8219
20180222,85.871
20180221,85.9436
20180220,85.6314
20180216,84.9754
20180215,84.8615
20180214,85.3733
20180213,85.65
20180212,86.1544
20180209,86.2365
20180208,86.2199
20180207,86.0656
20180206,85.6391
20180205,85.4873
20180202,85.1997
20180201,84.6717
20180131,84.855
20180130,85.0494
20180129,85.229
20180126,84.8181
20180125,84.6338
20180124,85.1294
20180123,86.002
20180122,86.2499
20180119,86.1844
20180118,86.1659
20180117,86.2379
20180116,86.1829
20180112,86.8613
20180111,87.2656
20180110,87.4798
20180109,87.6932
20180108,87.4709
20180105,87.2176
20180104,87.3561
20180103,87.4423
20180102,87.2663
20171229,87.4741
20171228,87.9068
20171227,88.2974
20171226,88.5227
20171222,88.743
20171221,88.6088
20171220,88.7856
20171219,89.0689
20171218,88.9388
20171215,89.1218
20171214,89.0225
20171213,89.2519
20171212,89.4931
20171211,89.13
20171208,89.3369
20171207,89.036
20171206,88.9141
20171205,88.6075
20171204,88.538
20171201,88.1787
20171130,88.6542
20171129,88.6792
20171128,88.5525
20171127,88.2549
20171124,88.1531
20171122,88.7161
20171121,89.1177
20171120,89.1893
20171117,88.9155
20171116,89.0313
20171115,89.1045
20171114,89.1425
20171113,89.5331
20171109,89.4057
20171108,89.7042
20171107,89.8949
20171106,89.7156
20171103,89.8369
20171102,89.6522
20171101,89.9235
20171031,89.7541
20171030,89.7108
20171027,90.0573
20171026,89.5002
20171025,89.0613
20171024,88.9681
20171023,88.8515
20171020,88.759
20171019,88.1097
20171018,88.3682
20171017,88.5437
20171016,88.1301
20171013,87.9876
20171012,88.0812
20171011,88.1108
20171010,88.1875
20171009,88.6758
20171006,88.6758
20171005,88.729
20171004,88.3242
20171003,88.3742
20171002,88.4092
20170929,88.1123
20170928,88.1449
20170927,88.1271
20170926,87.9048
20170925,87.4814
20170922,87.0355
20170921,87.1684
20170920,86.7391
20170919,86.8288
20170918,86.9218
20170915,86.6124
20170914,86.9953
20170913,87.0145
20170912,86.5896
20170911,86.498
20170908,86.0353
20170907,86.2319
20170906,86.7247
20170905,87.1826
20170904,87.5051
20170901,87.5051
20170831,87.7868
20170830,87.8594
20170829,87.1839
20170828,87.3594
20170825,87.7097
20170824,88.0944
20170823,88.151
20170822,88.2744
20170821,88.0441
20170818,88.334
20170817,88.5415
20170816,88.9383
20170815,88.8666
20170814,88.4368
20170811,88.2476
20170810,88.511
20170809,88.6125
20170808,88.7209
20170807,88.5292
20170804,88.5259
20170803,87.8338
20170802,87.8229
20170801,87.9974
20170731,87.8181
20170728,88.045
20170727,88.6609
20170726,88.7336
20170725,88.5633
20170724,88.5678
20170721,88.6389
20170720,88.8293
20170719,89.199
20170718,89.1814
20170717,89.7007
20170714,89.7128
20170713,90.3154
20170712,90.2967
20170711,90.71
20170710,90.7095
20170707,90.6826
20170706,90.6187
20170705,91.0051
20170704,90.8797
20170703,90.8797
20170630,90.5364
20170629,90.5601
20170628,90.8567
20170627,91.475
20170626,91.8827
20170623,91.9251
20170622,92.1187
20170621,92.3322
20170620,92.3012
20170619,91.9419
20170616,91.7992
20170615,92.0452
20170614,91.1977
20170613,91.7244
20170612,92.124
20170609,92.2087
20170608,92.0331
20170607,91.9254
20170606,91.7031
20170605,91.9719
20170602,91.9581
20170601,92.255
20170531,92.1072
20170530,92.262
20170529,92.411
20170526,92.411
20170525,92.1832
20170524,92.3978
20170523,92.2983
20170522,92.1219
20170519,92.3928
20170518,92.6605
20170517,92.7645
20170516,93.2369
20170515,93.7381
20170512,94.0786
20170511,94.3198
20170510,94.2374
20170509,94.3731
20170508,93.9572
20170505,93.6081
20170504,93.8417
20170503,93.8715
20170502,93.917
20170501,93.7221
20170428,93.777
20170427,93.8736
20170426,93.7755
20170425,93.4634
20170424,93.5203
20170421,93.9751
20170420,93.6884
20170419,93.8623
20170418,93.6042
20170417,93.6877
20170414,93.9688
20170413,93.934
20170412,94.161
20170411,94.2557
20170410,94.5108
20170407,94.5492
20170406,94.3992
20170405,94.3751
20170404,94.3406
20170403,94.3087
20170331,94.0131
20170330,93.829
20170329,93.9179
20170328,93.3851
20170327,93.2269
20170324,93.6699
20170323,93.642
20170322,93.6284
20170321,93.6444
20170320,94.0821
20170317,94.165
20170316,94.1203
20170315,95.1712
20170314,95.1757
20170313,95.0158
20170310,95.2007
20170309,95.5378
20170308,95.622
20170307,95.2193
20170306,95.1699
20170303,95.4033
20170302,95.4396
20170301,94.9949
20170228,94.3064
20170227,93.966
20170224,94.151
20170223,94.145
