품목비교 Historical Data,,,,,,,,
조회기간 :,2008-09-02 ~ 2018-07-27,,,,,,,
표시기준 :,Value(Price)로 표시,,,,,,,
순서 :,최근부터(DESC),,,,,,,
병합기준 :,Union,,,,,,,
[일간 기준],,,,,,,,
Date,철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton,Bloomberg(DJ-UBS) Commodity Index1991=100,Bloomberg Commodity Total Return1991=100,Rogers International Commodities Index Metals1998.07.31=1000,전기동 [LME] 현물USD/ton,니켈 [LME] 현물USD/ton,알루미늄 [LME] 현물USD/ton,납 [LME] 현물USD/ton
20180727,67.49,84.8391,174.93,2020.2,6251.5,13720,2055,2137.5
20180726,66.3,84.953,175.15,2020.76,6255,13575,2054,2141
20180725,66.03,84.9295,175.1,2022.53,6252,13535,2056.5,2132.5
20180724,65.57,84.074,173.32,2022.88,6167,13435,2082,2132.5
20180723,65.75,83.6367,172.41,2001.64,6153,13440,2130,2140
20180720,65.14,83.683,172.48,2002.7,6073,13425,2075,2100
20180719,65.25,83.0658,171.2,1978.95,5982,13220,2062,2092.5
20180718,65.24,83.1195,171.3,2003.79,6068,13315,2040,2118
20180717,64.07,82.8235,170.68,1999.27,6141.5,13460,2110,2164
20180716,64.56,82.8425,170.71,2013.5,6143,13680,2130,2183
20180713,64.04,83.8306,172.72,2024.48,6166,13870,2102,2162
20180712,64.06,84.0096,173.08,2035.74,6173,14055,2104.5,2140
20180711,63.34,83.44,171.9,2022.94,6182,13630,2120.5,2244
20180710,63.9,85.76,176.67,2063.83,6308,13960,2140.5,2283
20180709,63.92,86.13,177.41,2081.98,6383,13970,2135.5,2321
20180706,63.84,86.21,177.55,2064.68,6326,13760,2098.5,2321
20180705,63.14,85.53,176.14,2069.5,6399.5,14170,2127,2373
20180704,64.2,#N/A,#N/A,#N/A,6459,14100,2120.5,2373
20180703,64.55,85.92,176.94,2084.75,6584.5,14620,2165,2405
20180702,64.54,85.73,176.53,2077.9,6595,14575,2153,2398
20180629,65.02,87.41,179.95,#N/A,6646,14910,2183,2432
20180628,64.44,86.79,178.67,#N/A,6650,14720,2173,2407
20180627,64.6,87.14,179.38,2129.88,6688,14700,2204.5,2430
20180626,66.62,86.53,178.11,2130.24,6712,14570,2152,2408
20180625,65.49,86.17,177.37,#N/A,6783,15060,2172,2414
20180622,65.34,87.32,179.7,2153.28,6811,15255,2166,2389
20180621,64.88,86.42,177.84,2145.31,6801,14980,2167,2385
20180620,65.49,86.78,178.57,#N/A,6819,14850,2179,2397
20180619,66.45,86.58,178.15,2154.05,6820,14545,2179,2402.5
20180618,68.49,87.63,180.3,2182.21,6987,14970,2220.5,2411.5
20180615,#N/A,87.7,180.42,2184.93,7136,15265,2239.5,2431
20180614,68.49,89.22,183.53,2242.83,7197,15245,2277.5,2464
20180613,67.02,89.97,185.06,2246.35,7201.5,15180,2278,2461
20180612,67.23,89.9,184.91,2242.77,7200.5,15295,2309,2458
