Date,Open,High,Low,Close,Adj Close,Volume
2008-07-06,9.150000,9.440000,8.660000,8.810000,6.410392,307453027
2008-07-13,8.700000,9.150000,8.000000,8.430000,6.133893,213437955
2008-07-20,8.330000,8.900000,8.250000,8.600000,6.257592,301654350
2008-07-27,8.650000,8.830000,7.680000,7.930000,5.770081,355274094
2008-08-03,7.840000,7.840000,6.980000,7.060000,5.137045,374315673
2008-08-10,7.060000,7.230000,6.820000,7.010000,5.100664,229569100
2008-08-17,7.080000,7.390000,6.600000,6.760000,4.918757,212945736
2008-08-24,6.760000,6.810000,6.110000,6.520000,4.744127,210228458
2008-08-31,6.420000,6.640000,6.320000,6.430000,4.678641,156791451
2008-09-07,6.450000,6.820000,6.310000,6.530000,4.751403,157005411
2008-09-14,6.530000,6.640000,5.720000,6.610000,4.809614,219222229
2008-09-21,7.000000,7.320000,6.330000,7.270000,5.289847,801232249
2008-09-28,7.270000,7.270000,7.270000,7.270000,5.289847,0
2008-10-05,7.100000,7.100000,5.710000,5.780000,4.205683,320950380
2008-10-12,5.660000,6.150000,5.350000,5.520000,4.016500,287931115
2008-10-19,5.500000,5.720000,5.180000,5.200000,3.783659,218700762
2008-10-26,5.000000,5.040000,4.400000,4.570000,3.325254,326365610
2008-11-02,4.520000,4.640000,4.260000,4.580000,3.332531,373027639
2008-11-09,4.720000,5.600000,4.720000,5.570000,4.052881,920720702
2008-11-16,5.500000,5.590000,4.810000,5.120000,3.725449,808657852
2008-11-23,5.110000,5.430000,4.740000,5.040000,3.667239,542829403
2008-11-30,5.040000,5.720000,4.860000,5.490000,3.994671,709398351
2008-12-07,5.580000,5.820000,5.060000,5.150000,3.747278,837960715
2008-12-14,5.250000,5.420000,5.050000,5.310000,3.863698,338306551
2008-12-21,5.300000,5.300000,4.800000,4.920000,3.579924,337923875
2008-12-28,4.930000,4.930000,4.620000,4.640000,3.376188,145459454
2009-01-04,4.750000,5.170000,4.750000,4.950000,3.601752,440176425
2009-01-11,4.950000,5.270000,4.900000,5.190000,3.776384,458322769
2009-01-18,5.230000,5.550000,5.200000,5.480000,3.987395,499907182
2009-01-25,5.480000,5.480000,5.480000,5.480000,3.987395,0
2009-02-01,5.540000,5.920000,5.310000,5.830000,4.242065,637766926
2009-02-08,5.960000,6.080000,5.540000,5.840000,4.249341,1000300940
2009-02-15,5.910000,6.440000,5.700000,6.060000,4.409419,1274726315
2009-02-22,6.000000,6.080000,5.180000,5.250000,3.820041,801265075
2009-03-01,5.250000,5.710000,5.210000,5.500000,4.001947,558996351
2009-03-08,5.540000,5.690000,5.230000,5.360000,3.900080,378319503
2009-03-15,5.350000,5.810000,5.310000,5.710000,4.154748,581892708
2009-03-22,5.760000,6.130000,5.570000,5.950000,4.329380,761035587
2009-03-29,5.980000,5.990000,5.610000,5.880000,4.278446,777180904
2009-04-05,5.880000,5.940000,5.570000,5.740000,4.176578,366434846
2009-04-12,5.760000,6.270000,5.760000,5.930000,4.314826,966753664
2009-04-19,5.920000,6.120000,5.740000,5.780000,4.205683,536826925
2009-04-26,5.780000,5.870000,5.590000,5.780000,4.205683,247544872
2009-05-03,5.830000,6.280000,5.820000,6.140000,4.467628,740893554
2009-05-10,6.210000,6.600000,6.080000,6.290000,4.576773,946662073
2009-05-17,6.260000,6.450000,6.030000,6.110000,4.445800,482746570
2009-05-24,6.000000,6.160000,5.890000,6.110000,4.445800,250340533
2009-05-31,6.140000,6.940000,6.110000,6.650000,4.838718,890781204
2009-06-07,6.620000,7.070000,6.420000,6.600000,4.802337,701176728
2009-06-14,6.430000,6.740000,6.290000,6.650000,4.838718,526584793
2009-06-21,6.700000,7.430000,6.660000,7.200000,5.385798,939189227
2009-06-28,7.200000,7.520000,6.990000,7.300000,5.460601,566403449
2009-07-05,7.330000,8.350000,7.200000,8.080000,6.044062,807560937
2009-07-12,8.050000,8.660000,7.910000,8.380000,6.268471,552177322
2009-07-19,8.470000,8.610000,7.980000,8.200000,6.133826,602814947
2009-07-26,8.230000,9.790000,8.200000,9.630000,7.203506,1300408392
2009-08-02,9.690000,10.330000,8.700000,8.760000,6.552722,904813810
2009-08-09,8.850000,8.970000,7.950000,8.050000,6.021622,770450579
2009-08-16,7.950000,8.040000,7.000000,7.490000,5.602726,921098380
2009-08-23,7.520000,7.520000,6.750000,6.900000,5.161390,627060208
2009-08-30,6.830000,7.190000,6.300000,7.030000,5.258635,526323911
2009-09-06,7.100000,7.520000,6.810000,7.440000,5.565325,539072376
2009-09-13,7.450000,7.740000,7.000000,7.080000,5.296034,460089804
2009-09-20,6.980000,6.980000,6.420000,6.620000,4.951942,437075210
2009-09-27,6.650000,6.710000,6.250000,6.460000,4.832258,152686961
2009-10-04,6.460000,6.780000,6.460000,6.740000,5.041706,79401083
2009-10-11,6.700000,7.070000,6.550000,6.900000,5.161390,402298467
2009-10-18,6.890000,7.310000,6.860000,7.220000,5.400758,438217493
2009-10-25,7.200000,7.290000,6.620000,6.840000,5.116508,329853140
2009-11-01,6.700000,7.340000,6.660000,7.260000,5.430680,440882465
2009-11-08,7.260000,7.780000,7.220000,7.600000,5.685009,557911126
2009-11-15,7.640000,8.140000,7.640000,7.900000,5.909418,519307497
2009-11-22,7.910000,8.960000,7.740000,7.800000,5.834615,1080382558
2009-11-29,7.940000,9.360000,7.900000,9.150000,6.844451,914222453
2009-12-06,9.110000,9.400000,8.900000,9.170000,6.859413,573473645
2009-12-13,9.160000,9.300000,8.390000,8.570000,6.410596,492059464
2009-12-20,8.550000,9.100000,8.260000,8.920000,6.672405,401355525
2009-12-27,8.950000,9.700000,8.950000,9.660000,7.225946,384519974
2010-01-03,9.700000,9.720000,8.840000,9.080000,6.792090,465772074
2010-01-10,9.280000,9.470000,8.500000,8.680000,6.492879,614244206
2010-01-17,8.640000,8.910000,7.620000,7.870000,5.886977,677296194
2010-01-24,7.770000,7.870000,7.220000,7.580000,5.670049,410846534
2010-01-31,7.580000,7.680000,7.300000,7.340000,5.490522,272861242
2010-02-07,7.370000,8.030000,7.240000,8.020000,5.999181,330485624
2010-02-14,7.860000,8.030000,7.770000,8.020000,5.999181,328246808
2010-02-21,8.020000,8.340000,7.700000,8.040000,6.014142,330323576
2010-02-28,8.060000,8.300000,8.000000,8.170000,6.111385,253822737
2010-03-07,8.180000,8.720000,8.180000,8.350000,6.246030,347878887
2010-03-14,8.320000,8.340000,8.010000,8.280000,6.193667,225302003
2010-03-21,8.250000,8.250000,7.680000,7.800000,5.834615,434612235
2010-03-28,7.810000,8.100000,7.790000,8.050000,6.021622,366394668
2010-04-04,8.050000,8.160000,7.700000,7.800000,5.834615,281375543
2010-04-11,7.800000,7.840000,7.600000,7.640000,5.714931,250331806
2010-04-18,7.530000,7.580000,6.680000,6.710000,5.019265,435379890
2010-04-25,6.760000,6.900000,6.220000,6.890000,5.153910,337771448
2010-05-02,6.890000,6.890000,6.100000,6.430000,4.809817,244631745
2010-05-09,6.430000,6.770000,6.280000,6.610000,4.944462,257248478
2010-05-16,6.530000,6.750000,6.210000,6.740000,5.041706,282380389
2010-05-23,6.630000,6.780000,6.340000,6.480000,4.847219,283134448
