Date,Open,High,Low,Close,Adj Close,Volume
2008-07-06,9.170000,9.920000,8.750000,9.900000,7.694072,22351658
2008-07-13,9.900000,9.900000,8.120000,8.120000,6.310694,39057874
2008-07-20,8.650000,9.240000,7.970000,8.100000,6.295152,32981393
2008-07-27,8.180000,8.940000,7.910000,8.270000,6.427271,78067990
2008-08-03,8.100000,8.380000,7.400000,7.830000,6.085312,46095316
2008-08-10,7.990000,11.000000,7.060000,7.500000,5.828842,31603382
2008-08-17,7.400000,7.850000,7.150000,7.340000,5.704494,25975482
2008-08-24,7.410000,9.000000,7.260000,7.650000,5.945420,22349951
2008-08-31,7.600000,8.200000,6.250000,6.390000,4.966174,60400360
2008-09-07,7.080000,9.500000,5.840000,5.910000,4.593128,47729930
2008-09-14,5.900000,6.020000,4.550000,5.700000,4.429921,60869970
2008-09-21,7.500000,7.500000,5.920000,5.980000,4.647531,52289635
2008-09-28,6.300000,6.300000,4.520000,4.970000,3.862580,44136111
2008-10-05,4.860000,4.860000,2.680000,2.680000,2.082840,72251008
2008-10-12,2.760000,4.400000,2.740000,2.940000,2.284907,102252884
2008-10-19,3.110000,3.350000,2.800000,2.850000,2.214960,50789048
2008-10-26,2.840000,3.270000,2.770000,2.950000,2.292678,50727313
2008-11-02,3.000000,3.130000,2.460000,2.600000,2.020665,57250767
2008-11-09,2.730000,2.730000,1.825000,1.900000,1.476640,53534804
2008-11-16,1.880000,1.940000,1.160000,1.800000,1.398922,59319047
2008-11-23,1.910000,2.120000,1.665000,2.060000,1.600989,70898600
2008-11-30,2.160000,2.930000,2.100000,2.230000,1.733109,105304887
2008-12-07,2.250000,2.990000,2.050000,2.420000,1.880774,68299798
2008-12-14,2.550000,2.680000,2.140000,2.160000,1.678707,48051946
2008-12-21,2.110000,2.110000,1.700000,1.805000,1.402808,34968537
2008-12-28,1.820000,2.060000,1.800000,2.010000,1.562130,20326328
2009-01-04,2.130000,2.360000,2.050000,2.070000,1.608761,43235462
2009-01-11,2.010000,2.080000,1.905000,1.980000,1.538815,31068974
2009-01-18,2.020000,2.040000,1.705000,1.745000,1.356178,32147078
2009-01-25,1.745000,1.805000,1.655000,1.770000,1.375607,29031679
2009-02-01,1.885000,2.380000,1.815000,2.320000,1.803055,90803233
2009-02-08,2.450000,2.810000,2.260000,2.810000,2.183874,94223992
2009-02-15,2.820000,3.340000,2.580000,2.830000,2.199417,123628101
2009-02-22,2.830000,2.940000,2.420000,2.650000,2.059525,50938290
2009-03-01,2.610000,2.720000,2.220000,2.500000,1.942948,57489975
2009-03-08,2.590000,2.660000,2.350000,2.360000,1.834143,27737394
2009-03-15,2.400000,2.490000,2.180000,2.180000,1.694250,44820785
2009-03-22,2.190000,2.630000,2.190000,2.600000,2.020665,41671292
2009-03-29,2.590000,2.790000,2.370000,2.500000,1.942948,42060789
2009-04-05,2.480000,2.480000,2.260000,2.390000,1.857458,23486839
2009-04-12,2.390000,2.600000,2.390000,2.530000,1.966263,23012979
2009-04-19,2.530000,2.760000,2.500000,2.520000,1.958491,34999061
2009-04-26,2.580000,2.590000,2.300000,2.340000,1.818599,29921884
2009-05-03,2.370000,2.640000,2.370000,2.640000,2.051753,31412366
2009-05-10,2.750000,3.090000,2.610000,2.660000,2.067297,64815347
2009-05-17,2.630000,2.720000,2.500000,2.530000,1.966263,24532512
2009-05-24,2.530000,2.760000,2.500000,2.620000,2.036209,35910357
2009-05-31,2.680000,3.410000,2.640000,3.180000,2.471430,69933600
2009-06-07,3.180000,4.550000,3.110000,4.150000,3.225294,120698021
2009-06-14,4.070000,4.090000,3.490000,3.860000,2.999911,71472725
2009-06-21,3.880000,4.070000,3.570000,3.770000,2.929965,60266883
2009-06-28,3.750000,3.850000,3.460000,3.520000,2.735670,28555922
2009-07-05,3.500000,3.560000,3.250000,3.400000,2.642409,45358091
2009-07-12,3.450000,4.080000,3.400000,3.920000,3.046542,51480467
2009-07-19,3.980000,4.600000,3.960000,4.330000,3.365186,59973123
2009-07-26,4.440000,4.550000,4.150000,4.220000,3.279696,45257622
2009-08-02,4.300000,4.550000,4.230000,4.410000,3.427359,38089603
2009-08-09,4.480000,4.670000,3.970000,4.450000,3.458447,65679388
2009-08-16,4.600000,4.750000,4.320000,4.450000,3.458447,45946494
2009-08-23,4.570000,4.600000,4.410000,4.440000,3.450675,18600535
2009-08-30,4.480000,4.500000,4.090000,4.110000,3.194206,33651473
2009-09-06,4.160000,4.330000,4.100000,4.250000,3.303011,19033057
2009-09-13,4.240000,4.260000,4.070000,4.070000,3.163119,31713672
2009-09-20,4.100000,4.300000,3.970000,4.010000,3.116488,37263189
2009-09-27,3.970000,4.000000,3.550000,3.630000,2.821160,38502958
2009-10-04,3.630000,3.820000,3.380000,3.770000,2.929965,32883792
