Date,Open,High,Low,Close,Adj Close,Volume
2008-07-13,5.360000,5.600000,4.850000,5.000000,3.357429,2700
2008-07-20,5.460000,5.750000,4.950000,4.970000,3.337284,1056
2008-07-27,4.850000,4.850000,4.850000,4.850000,3.256706,300
2008-08-03,null,null,null,null,null,null
2008-08-10,null,null,null,null,null,null
2008-08-17,4.410000,4.410000,4.110000,4.290000,2.880674,125
2008-08-24,4.410000,4.750000,4.300000,4.750000,3.189558,1900
2008-08-31,4.410000,4.460000,3.600000,3.600000,2.417349,250
2008-09-07,4.040000,4.040000,3.260000,3.480000,2.336771,820
2008-09-14,3.250000,3.350000,2.800000,3.350000,2.249477,19328
2008-09-21,4.050000,4.130000,3.330000,3.330000,2.236048,1370
2008-09-28,3.110000,3.110000,2.530000,2.870000,1.927164,6385
2008-10-05,2.450000,2.450000,1.270000,1.300000,0.872932,17652
2008-10-12,1.380000,2.530000,1.380000,1.460000,0.980369,25010
2008-10-19,1.510000,1.780000,1.390000,1.390000,0.933365,3300
2008-10-26,1.330000,1.610000,1.330000,1.500000,1.007228,500
2008-11-02,1.570000,1.670000,1.350000,1.400000,0.940080,7785
2008-11-09,1.280000,1.280000,0.947000,0.990000,0.664771,64170
2008-11-16,0.950000,0.950000,0.700000,0.873000,0.586207,15000
2008-11-23,0.880000,1.120000,0.880000,1.030000,0.691630,21350
2008-11-30,1.230000,1.370000,1.050000,1.080000,0.725205,13168
2008-12-07,1.120000,1.380000,1.090000,1.250000,0.839357,24805
2008-12-14,1.340000,1.340000,1.010000,1.070000,0.718490,7160
2008-12-21,0.849000,0.849000,0.847000,0.847000,0.568749,200
2008-12-28,0.849000,0.969000,0.849000,0.969000,0.650670,5500
2009-01-04,1.040000,1.220000,1.040000,1.040000,0.698345,2550
2009-01-11,1.000000,1.020000,0.936000,0.976000,0.655370,500
2009-01-18,0.992000,0.992000,0.847000,0.847000,0.568749,0
2009-01-25,0.850000,0.850000,0.815000,0.840000,0.564048,0
2009-02-01,0.928000,1.160000,0.923000,1.160000,0.778924,2150
2009-02-08,1.300000,1.450000,1.230000,1.450000,0.973655,1612
2009-02-15,1.360000,1.520000,1.350000,1.440000,0.966940,0
2009-02-22,1.280000,1.340000,1.200000,1.340000,0.899791,59700
2009-03-01,1.250000,1.290000,1.250000,1.250000,0.839357,10000
2009-03-08,1.240000,1.250000,1.240000,1.240000,0.832642,5480
2009-03-15,null,null,null,null,null,null
2009-03-22,1.250000,1.250000,1.140000,1.140000,0.765494,35800
2009-03-29,1.250000,1.250000,1.250000,1.250000,0.839357,2560
2009-04-05,1.310000,1.310000,1.220000,1.310000,0.879646,3888
2009-04-12,1.400000,1.400000,1.360000,1.400000,0.940080,500
2009-04-19,1.330000,1.360000,1.330000,1.330000,0.893076,30000
2009-04-26,null,null,null,null,null,null
2009-05-03,null,null,null,null,null,null
2009-05-10,1.420000,1.420000,1.420000,1.420000,0.953510,701
2009-05-17,null,null,null,null,null,null
2009-05-24,null,null,null,null,null,null
2009-05-31,1.770000,1.770000,1.760000,1.770000,1.188530,2000
2009-06-07,1.950000,2.580000,1.900000,2.450000,1.645140,13740
