Date,Open,High,Low,Close,Adj Close,Volume
2008-07-14,106.885002,106.970001,99.000000,100.375000,51.901299,8939600
2008-07-21,103.297501,105.667503,96.277496,98.625000,50.996414,5033200
2008-07-28,101.327499,107.067497,97.782501,98.629997,50.998997,5795200
2008-08-04,95.985001,96.212502,88.195000,89.290001,46.169529,10412800
2008-08-11,88.972504,91.375000,85.220001,86.690002,44.825138,8221200
2008-08-18,88.294998,97.750000,85.592499,95.315002,49.284908,6327200
2008-08-25,96.247498,98.430000,93.474998,94.930000,49.085835,5762800
2008-09-01,86.000000,86.972504,75.712502,78.605003,40.644596,9479200
2008-09-08,80.084999,81.434998,70.672501,81.355003,43.457233,12494400
2008-09-15,75.482498,78.750000,64.207497,78.724998,42.052361,16742400
2008-09-22,81.110001,83.000000,65.832497,67.750000,36.189877,10592000
2008-09-29,62.252499,65.000000,52.020000,56.250000,30.046940,15226800
2008-10-06,53.000000,54.375000,37.482498,42.687500,22.802290,21669600
2008-10-13,46.750000,52.192501,34.207500,38.812500,20.732389,14852800
2008-10-20,41.610001,45.340000,32.645000,36.797501,19.656042,16431200
2008-10-27,33.587502,48.107498,32.889999,46.467499,24.821449,16508400
2008-11-03,45.017502,51.182499,39.167500,41.837502,22.348251,12032000
2008-11-10,45.542500,45.867500,35.747501,37.450001,20.004589,12488800
2008-11-17,37.474998,38.537498,27.900000,32.777500,17.508686,13084000
2008-11-24,34.117500,37.549999,22.127501,25.000000,13.354198,35047200
2008-12-01,22.537500,22.847500,14.800000,16.232500,8.670879,53826400
2008-12-08,17.237499,23.812500,17.212500,23.150000,12.365987,46196400
2008-12-15,23.459999,24.920000,21.125000,21.325001,11.391129,26104400
2008-12-22,20.592501,21.317499,19.750000,20.665001,11.038580,12010400
2008-12-29,21.209999,24.877501,20.525000,24.850000,13.274073,14706800
2009-01-05,24.975000,29.867500,24.325001,25.027500,13.368889,39165200
2009-01-12,24.080000,24.412500,19.625000,22.192499,11.854519,29833200
2009-01-19,21.365000,21.965000,19.750000,21.525000,11.497963,21280000
2009-01-26,22.022499,23.475000,21.320000,21.687500,11.584764,27859200
2009-02-02,22.712500,30.674999,22.227501,30.340000,16.206656,38560400
2009-02-09,28.642500,29.302500,25.545000,28.430000,15.186393,27698800
2009-02-16,26.637501,28.995001,25.570000,26.480000,14.144764,18968400
2009-02-23,27.010000,27.125000,24.742500,25.500000,15.188366,17607200
2009-03-02,24.754999,26.635000,22.402500,25.612499,15.255375,19703200
2009-03-09,24.512501,30.487499,23.872499,29.502501,17.572348,21127200
2009-03-16,29.477501,30.225000,25.507500,28.525000,16.990128,23511600
2009-03-23,31.997499,35.825001,31.000000,35.285000,21.016529,26904800
2009-03-30,33.707500,37.787498,32.560001,37.362499,22.253937,18817200
2009-04-06,32.737499,35.150002,31.420000,34.875000,20.772326,17106800
2009-04-13,35.320000,37.840000,34.832500,36.102501,21.503452,17212000
2009-04-20,33.687500,39.900002,32.410000,39.237499,23.370731,22658800
2009-04-27,38.292500,43.415001,36.680000,43.002499,25.613243,16106800
2009-05-04,44.250000,48.157501,43.652500,46.492500,27.691971,21114800
2009-05-11,44.822498,45.892502,37.375000,39.752499,23.677477,31538000
2009-05-18,39.959999,45.250000,39.785000,43.459999,25.885744,23156000
2009-05-25,42.355000,46.169998,42.312500,45.360001,27.017429,14548800
2009-06-01,48.487499,50.865002,42.785000,48.439999,28.851944,35988000
2009-06-08,46.707500,54.115002,46.000000,51.110001,30.442263,21714400
2009-06-15,48.250000,48.500000,39.665001,41.947498,24.984863,28531200
2009-06-22,39.310001,41.820000,38.105000,41.072498,24.463703,17273200
2009-06-29,40.747501,42.529999,39.000000,39.622501,23.600050,11919600
2009-07-06,37.099998,37.842499,30.000000,31.139999,18.547678,29850800
2009-07-13,31.025000,36.435001,30.389999,36.302502,25.589275,17503600
2009-07-20,37.369999,40.657501,36.389999,40.375000,28.459936,23683600
2009-07-27,40.752499,42.282501,37.584999,41.895000,29.531364,19136000
2009-08-03,43.812500,44.797501,40.275002,40.927502,28.849388,17482000
2009-08-10,39.042500,40.865002,37.549999,39.572498,27.894264,17422000
2009-08-17,36.855000,40.064999,36.352501,39.812500,28.063437,14962000
2009-08-24,41.232498,41.487499,38.202499,39.540001,27.871349,16729600
2009-08-31,38.532501,40.237499,36.967499,39.962502,28.169167,14432800
2009-09-07,42.292500,44.389999,41.250000,43.572498,30.713821,11551200
2009-09-14,42.570000,45.842499,42.514999,44.762501,31.552643,16720400
2009-09-21,43.257500,45.419998,41.772499,41.972500,29.585995,14845600
2009-09-28,41.757500,43.452499,39.334999,40.220001,28.350683,14381200
2009-10-05,40.580002,46.125000,40.375000,45.654999,32.181755,16764000
2009-10-12,45.767502,48.730000,45.090000,47.812500,33.702553,16109200
2009-10-19,48.189999,50.622501,47.855000,48.802502,34.400398,16690800
2009-10-26,49.669998,50.492500,43.424999,44.507500,31.372896,21295200
2009-11-02,45.330002,48.669998,44.637501,48.332500,34.069103,15480800
2009-11-09,50.712502,53.125000,50.395000,52.512501,37.015541,17671200
2009-11-16,54.834999,55.937500,51.794998,52.974998,37.341549,18090400
2009-11-23,54.509998,55.167500,49.990002,51.119999,36.033974,16263200
2009-11-30,50.625000,54.972500,50.375000,51.974998,36.636662,16796800
