품목비교 Historical Data
조회기간 :,2008-07-15 ~ 2018-07-13
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Lag
[주간평균 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","USD/CNY (미국 달러 / 중국 인민폐)","AUD/USD (호주 달러 / 미국 달러)","USD/KRW (미국 달러 / 한국 원)","AUD/KRW (호주 달러 / 한국 원)","CNY/KRW (중국 인민폐 / 한국 원)","USD/RMB (미국 달러 / 중국 인민폐)"
20180709,63.81,6.6569,.7417,1118.5,829.824,167.876,6.6468
20180702,64.05,6.6438,.7385,1117.88,824.908,167.984,6.6353
20180625,65.23,6.594,.738,1115.96,824.424,169.992,6.5554
20180618,66.13,6.4786,.7399,1103.66,816.682,170.86,6.4583
20180611,67.37,6.4071,.7536,1076.075,813.9925,168.1375,6.4122
20180604,66.3,6.3993,.7634,1071.1,816.96,167.2175,6.4065
20180528,65.29,6.4125,.7553,1077.14,813.234,168.276,6.4082
20180521,64.66,6.3811,.7573,1080.575,817.0925,169.6725,6.3821
20180514,67.93,6.3666,.7508,1073.16,806.576,169.144,6.3604
20180507,66.95,6.3557,.75,1077.875,807.31,169.5475,6.3657
20180430,66.43,6.349,.7515,1073.775,807.445,169.28,6.3641
20180423,66.5,6.3229,.7582,1074.3,816.462,170.448,6.3201
20180416,65.97,6.2808,.7748,1068.3,829.828,170.18,6.284
20180409,64.69,6.2845,.7749,1067.26,825.208,169.624,6.2966
20180402,64.05,6.2958,.7682,1059.48,814.062,168.81,6.2841
20180326,64.21,6.2848,.7688,1074.02,826.428,170.752,6.2944
20180319,66.68,6.3262,.7709,1070.48,825.91,169.212,6.328
20180312,70.66,6.3242,.7822,1066.18,837.016,168.63,6.3247
20180305,74.45,6.3319,.7805,1074.86,836.896,169.694,6.336
20180226,78.99,6.3335,.7787,1076.275,840.6875,170.3425,6.3301
20180219,78.51,6.3446,.7855,1075.28,846.184,169.978,6.3506
20180212,77.61,6.3415,.7898,1086.3,852.12,171.5567,6.3225
20180205,76.52,6.2927,.7835,1086.38,853.374,172.536,6.2998
20180129,73.5,6.3096,.8039,1068.64,863.11,168.964,6.317
20180122,75.47,6.3627,.8037,1067.64,855.652,167.13,6.3839
20180115,75.69,6.4282,.7973,1065.04,848.044,165.212,6.437
20180108,78.33,6.4983,.7863,1066.275,836.3425,164.0275,6.5017
20180101,75.76,6.4966,.784,1066.65,835.4225,163.8225,6.4989
20171225,73.48,6.5396,.7763,1075.9,833.4,164.1767,6.5455
20171218,74.02,6.5921,.7682,1085.74,832.66,164.6,6.5988
20171211,70.47,6.6166,.7603,1090.9,826.628,164.79,6.6142
20171204,69.77,6.6167,.7559,1088.86,824.792,164.596,6.6159
20171127,68.24,6.6085,.7588,1085.68,823.928,164.532,6.5986
20171120,65.35,6.6116,.7596,1094.36,830.138,165.14,6.615
20171113,62.28,6.6324,.7596,1114.98,848.898,167.872,6.6293
20171106,62.64,6.6365,.7671,1113.92,854.324,168.038,6.6269
20171030,59.26,6.6258,.7676,1121.26,861.068,169.032,6.629
20171023,61.64,6.641,.7725,1129.02,875.276,170.272,6.6311
20171016,62.25,6.6147,.7847,1130.45,888.8175,171.5075,6.598
20171009,61.19,6.5912,.7808,1138.2,886.49,172.46,6.6056
20171002,61.97,6.651,.7818,1137.88,898.35,172.038,6.6173
20170925,63.42,6.644,.7871,1137.88,898.35,172.038,6.6173
20170918,67.98,6.5831,.7979,1130.66,902.898,172.114,6.5669
20170911,74.71,6.5416,.8007,1129.22,905.226,173.102,6.5309
20170904,76.61,6.5122,.8012,1129.76,903.336,172.454,6.533
20170828,77.13,6.5921,.7938,1124.88,892.28,169.874,6.6133
20170821,78.59,6.6595,.7919,1134.82,898.408,170.134,6.6609
20170814,74.94,6.6783,.7883,1140,898.465,170.535,6.6704
20170807,75.88,6.683,.7894,1130.78,893.438,168.486,6.698
20170731,73.32,6.7234,.796,1121.96,894.638,166.638,6.7196
20170724,69.34,6.7465,.7965,1117.24,888.07,165.532,6.7421
20170717,68.22,6.7591,.7906,1127.44,889.312,166.726,6.7501
20170710,65.03,6.7905,.7696,1147.78,878.182,168.876,6.7878
20170703,63.11,6.8009,.7612,1148.22,876.124,169.07,6.789
20170626,62.92,6.8026,.7635,1138.6,866.672,166.818,6.805
20170619,56.57,6.8297,.7568,1136.88,861.346,166.562,6.8139
20170612,54.73,6.8015,.7576,1124.98,850.236,165.74,6.7938
20170605,55.63,6.7983,.7523,1121.575,841.955,165.5925,6.7926
20170529,57.56,6.8297,.743,1121.14,832.91,164.662,6.8264
20170522,60.77,6.8783,.7472,1121.96,838.308,163.05,6.8697
20170515,61.69,6.8875,.7431,1122.7,832.636,163.028,6.8735
20170508,60.67,6.9028,.737,1132.35,834.68,163.935,6.901
20170501,66.08,6.8966,.7465,1132.05,846.415,164.125,6.8922
20170424,66.89,6.8909,.7509,1130.8,850.608,164.218,6.8836
20170417,65.53,6.8834,.7543,1138.88,859.53,165.558,6.8783
20170410,71.45,6.892,.7537,1139.82,857.424,165.206,6.8866
20170403,79.34,6.8944,.7557,1121.4,850.422,162.974,6.8928
20170327,81.6,6.8849,.7639,1115.9,852.446,162.426,6.8856
20170320,87.1,6.8882,.7667,1123.44,863.158,163.308,6.8932
20170313,90.46,6.9075,.7637,1146.24,872.01,166.348,6.8991
20170306,88.05,6.9066,.7547,1152.54,871.068,166.964,6.9005
20170227,91.71,6.8811,.7635,1134.35,867.5175,165.335,6.8813
20170220,92.67,6.8743,.7688,1143.88,879.626,166.794,6.8743
20170213,91.08,6.8677,.7676,1145.66,879.832,167.016,6.8684
20170206,83.58,6.8749,.7645,1143.54,873.93,167.534,6.8718
20170130,83.05,6.8778,.7612,1156.925,878.71,169.2875,6.8556
20170123,82.6,6.8712,.7567,1167.25,884.58,171.025,6.8522
20170116,81.73,6.8694,.753,1176.36,884.844,171.878,6.873
20170109,79.82,6.9216,.743,1194.5,882.766,173.78,6.9156
20170102,77.59,6.9296,.7266,1204.16,872.924,173.296,6.925
20161226,79.85,6.9512,.7197,1204.74,866.054,173.158,6.9457
20161219,78.86,6.9485,.7226,1190.64,863.298,171.522,6.9433
20161212,81.83,6.9227,.7411,1170.06,870.354,168.882,6.9169
20161205,80.81,6.8852,.7463,1168.46,871.814,169.71,6.8791
20161128,77.27,6.8929,.7448,1171.66,872.276,169.39,6.891
20161121,75.53,6.9108,.7402,1179.74,870.596,170.492,6.8984
20161114,73.84,6.8519,.7471,1168.92,878.3,170.434,6.8573
20161107,72.13,6.7918,.7655,1143.86,878.486,168.262,6.7875
20161031,65.1,6.7647,.7656,1144.18,873.854,168.77,6.7588
20161024,62.26,6.7774,.7614,1135.62,864.954,167.572,6.7747
20161017,58.55,6.7441,.7651,1130.46,864.868,167.69,6.7375
20161010,57.09,6.7206,.758,1119.54,848.278,166.554,6.7163
20161003,55.86,6.6714,.7618,1108.05,844.8725,165.7525,6.671
20160926,56.48,6.6667,.7658,1101.32,842.306,164.796,6.671
20160919,56.09,6.6698,.7601,1114.34,844.096,166.828,6.666
20160912,56,6.6764,.7499,1105.05,834.375,165.295,6.6843
20160905,58.56,6.673,.7625,1103.44,842.024,165.138,6.6682
20160829,59.13,6.6768,.7547,1118.86,844.048,167.304,6.6817
20160822,61.05,6.6569,.7609,1119.7,853.458,168.108,6.655
